abnormal_cell_affected_by_chemical_or_drug 	abnormal cell affected by chemical or drug
abnormality_associated_with_allele 	abnormality associated with allele
access_device_used_by 	Access device used by
access_of 	Access of
active_ingredient_of 	Active ingredient of
active_metabolites_of 	Active metabolites of
activity_of_allele 	activity of allele
actual_outcome_of 	Actual outcome of
adjacent_to 	Adjacent to
adjectival_form_of 	Adjectival form of
adjustment_of 	Adjustment of
afferent_to 	Afferent to
alias_of 	Alias of
allele_absent_from_wild-type_chromosomal_location 	allele absent from wild-type chromosomal location
allele_associated_with_disease 	allele associated with disease
allele_has_abnormality 	allele has abnormality
allele_has_activity 	allele has activity
allele_in_chromosomal_location 	allele in chromosomal location
allele_not_associated_with_disease 	allele not associated with disease
allele_plays_altered_role_in_process 	allele plays altered role in process
allele_plays_role_in_metabolism_of_chemical_or_drug 	allele plays role in metabolism of chemical or drug
allelic_variant_of 	Allelic Variant of
alternatively_used_for 	alternatively_used_for
analyzed_by 	Analyzed by
analyzes 	Analyzes
anatomic_structure_has_location 	anatomic structure has location
anatomic_structure_is_physical_part_of 	anatomic structure is physical part of
anatomy_originated_from_biological_process 	anatomy originated from biological process
approximately_mapped_from 	Approximately Mapped from
approximately_mapped_to 	Approximately Mapped to
arterial_supply_of 	Arterial supply of
associated_disease 	Associated disease
associated_finding_of 	Associated finding of
associated_genetic_condition 	Associated genetic condition
associated_morphology_of 	Associated morphology of
associated_procedure_of 	Associated procedure of
associated_with_malfunction_of_gene_product 	associated with malfunction of gene product
associated_with 	Associated with
attaches_to 	Attaches to
attributed_constitutional_part_of 	Attributed constitutional part of
attributed_continuous_with 	Attributed continuous with
attributed_part_of 	Attributed part of
attributed_regional_part_of 	Attributed regional part of
biological_process_has_associated_location 	biological process has associated location
biological_process_has_initiator_chemical_or_drug 	biological process has initiator chemical or drug
biological_process_has_initiator_process 	biological process has initiator process
biological_process_has_result_anatomy 	biological process has result anatomy
biological_process_has_result_biological_process 	biological process has result biological process
biological_process_has_result_chemical_or_drug 	biological process has result chemical or drug
biological_process_involves_chemical_or_drug 	biological process involves chemical or drug
biological_process_involves_gene_product 	biological process involves gene product
biological_process_is_part_of_process 	biological process is part of process
biological_process_results_from_biological_process 	biological process results from biological process
biomarker_type_includes_gene_product 	biomarker type includes gene product
biomarker_type_includes_gene 	biomarker type includes gene
bounded_by 	Bounded by
bounds 	Bounds
branch_of 	Branch of
british_form_of 	British form of
causative_agent_of 	Causative agent of
cause_of 	Cause of
cell_connecting_part_of 	Cell connecting part of
cell_shape_of 	Cell shape of
cell_surface_specialization_of 	Cell surface specialization of
cell_type_is_associated_with_eo_disease 	cell type is associated with eo disease
cell_type_or_tissue_affected_by_chemical_or_drug 	cell type or tissue affected by chemical or drug
challenge_of 	Challenge of
chemical_or_drug_affects_abnormal_cell 	chemical or drug affects abnormal cell
chemical_or_drug_affects_cell_type_or_tissue 	chemical or drug affects cell type or tissue
chemical_or_drug_affects_gene_product 	chemical or drug affects gene product
chemical_or_drug_has_mechanism_of_action 	chemical or drug has mechanism of action
chemical_or_drug_has_physiologic_effect 	chemical or drug has physiologic effect
chemical_or_drug_initiates_biological_process 	chemical or drug initiates biological process
chemical_or_drug_is_metabolized_by_enzyme 	chemical or drug is metabolized by enzyme
chemical_or_drug_is_product_of_biological_process 	chemical or drug is product of biological process
chemical_or_drug_metabolism_is_associated_with_allele 	chemical or drug metabolism is associated with allele
chemical_or_drug_plays_role_in_biological_process 	chemical or drug plays role in biological process
chemical_structure_of 	Chemical structure of
chemotherapy_regimen_has_component 	chemotherapy regimen has component
chromosomal_location_of_allele 	chromosomal location of allele
chromosomal_location_of_wild-type_gene 	chromosomal location of wild-type gene
class_of 	Class of
classified_as 	Classified as
classifies 	Classifies
clinical_course_of 	Clinical course of
clinically_associated_with 	Clinically associated with
clinically_similar 	Clinically similar
co-occurs_with 	Co-ocurrs with
codesystem_of 	Codesystem of
common_name_of 	common name of
completely_excised_anatomy_has_procedure 	completely excised anatomy has procedure
completely_excised_anatomy_may_have_procedure 	Completely excised anatomy may have procedure
complex_has_physical_part 	complex has physical part
component_of 	Component of
concept_in_subset 	concept in subset
conceptual_part_of 	Conceptual part of
consider_from 	Consider from
consider 	Consider
consists_of 	Consists of
constitutes 	Constitutes
constitutional_part_of 	Constitutional part of
contained_in 	Contained in
contains 	Contains
continuation_branch_of 	Continuation branch of
continuous_with_distally 	Continuous with distally
continuous_with_proximally 	Continuous with proximally
continuous_with 	Continuous with
contraindicated_drug 	Contraindicated drug
contraindicating_class_of 	Contraindicating class of
contraindicating_mechanism_of_action_of 	Contraindicating mechanism of action of
contraindicating_physiologic_effect_of 	Contraindicating physiologic effect of
ddx 	dxx
default_mapped_from 	Default mapped from
default_mapped_to 	Default mapped to
definitional_manifestation_of 	Definitional manifestation of
degree_of 	Degree of
develops_from 	Develops from
device_used_by 	Device used by
diagnosed_by 	Diagnosed by
diagnoses 	Diagnoses
direct_device_of 	Direct device of
direct_morphology_of 	Direct morphology of
direct_procedure_site_of 	Direct procedure site of
direct_substance_of 	Direct substance of
disease_associated_with_allele 	disease associated with allele
disease_excludes_abnormal_cell 	disease excludes abnormal cell
disease_excludes_cytogenetic_abnormality 	disease excludes cytogenetic abnormality
disease_excludes_finding 	disease excludes finding
disease_excludes_molecular_abnormality 	disease excludes molecular abnormality
disease_excludes_normal_cell_origin 	disease excludes normal cell origin
disease_excludes_normal_tissue_origin 	disease excludes normal tissue origin
disease_excludes_primary_anatomic_site 	disease excludes primary anatomic site
disease_has_abnormal_cell 	disease has abnormal cell
disease_has_accepted_treatment_with_regimen 	Disease Has Accepted Treatment With Regimen
disease_has_associated_anatomic_site 	disease has associated anatomic site
disease_has_associated_disease 	disease has associated disease
disease_has_associated_gene 	disease has associated gene
disease_has_cytogenetic_abnormality 	disease has cytogenetic abnormality
disease_has_finding 	disease has finding
disease_has_metastatic_anatomic_site 	disease has metastatic anatomic site
disease_has_molecular_abnormality 	disease has molecular abnormality
disease_has_normal_cell_origin 	disease has normal cell origin
disease_has_normal_tissue_origin 	disease has normal tissue origin
disease_has_primary_anatomic_site 	disease has primary anatomic site
disease_is_grade 	disease is grade
disease_is_marked_by_gene 	disease is marked by gene
disease_is_stage 	disease is stage
disease_may_have_abnormal_cell 	disease may have abnormal cell
disease_may_have_associated_disease 	disease may have associated disease
disease_may_have_cytogenetic_abnormality 	disease may have cytogenetic abnormality
disease_may_have_finding 	disease may have finding
disease_may_have_molecular_abnormality 	disease may have molecular abnormality
disease_may_have_normal_cell_origin 	disease may have normal cell origin
disease_not_associated_with_allele 	disease not associated with allele
divisor_of 	Divisor of
dose_form_of 	Dose form of
due_to 	Due to
effect_may_be_inhibited_by 	Effect may be inhibited by
efferent_to 	Efferent to
eipthelial_cell_shape_of 	Eipthelial cell shape of
encoded_by 	Encoded by
encodes_for 	Encodes for
endogenous_product_related_to 	Endogenous Product Related To
energy_used_by 	Energy used by
entry_combination_of 	Entry Combination of
entry_version_of 	Entry version of
enzyme_metabolizes_chemical_or_drug 	enzyme metabolizes chemical or drug
eo_anatomy_is_associated_with_eo_disease 	eo anatomy is associated with eo disease
eo_disease_has_associated_cell_type 	eo disease has associated cell type
eo_disease_has_associated_eo_anatomy 	eo disease has associated eo anatomy
eo_disease_has_property_or_attribute 	eo disease has property or attribute
eo_disease_maps_to_human_disease 	eo disease maps to human disease
episodicity_of 	Episodicity of
evaluation_of 	Evaluation of
excised_anatomy_has_procedure 	excised anatomy has procedure
excised_anatomy_may_have_procedure 	excised anatomy may have procedure
exhibited_by 	Exhibited by
exhibits 	Exhibits
expanded_form_of 	Expanded form of
expected_outcome_of 	Expected outcome of
fascicular_architecture_of 	Fascicular architecture of
finding_context_of 	Finding context of
finding_informer_of 	Finding informer of
finding_method_of 	Finding method of
finding_site_of 	Finding site of
focus_of 	Focus of
form_of 	Form of
fragments_for_synonyms_of 	Fragments for synonyms of
gene_associated_with_disease 	gene associated with disease
gene_encodes_gene_product 	gene encodes gene product
gene_found_in_organism 	gene found in organism
gene_has_abnormality 	gene has abnormality
gene_has_physical_location 	gene has physical location
gene_in_chromosomal_location 	gene in chromosomal location
gene_is_biomarker_of 	gene is biomarker of
gene_is_biomarker_type 	gene is biomarker type
gene_is_element_in_pathway 	gene is element in pathway
gene_plays_role_in_process 	gene plays role in process
gene_product_affected_by_chemical_or_drug 	gene product affected by chemical or drug
gene_product_encoded_by_gene 	gene product encoded by gene
gene_product_expressed_in_tissue 	gene product expressed in tissue
gene_product_has_abnormality 	gene product has abnormality
gene_product_has_associated_anatomy 	gene product has associated anatomy
gene_product_has_biochemical_function 	gene product has biochemical function
gene_product_has_chemical_classification 	gene product has chemical classification
gene_product_has_malfunction_type 	gene product has malfunction type
gene_product_has_organism_source 	gene product has organism source
gene_product_has_structural_domain_or_motif 	gene product has structural domain or motif
gene_product_is_biomarker_of 	gene product is biomarker of
gene_product_is_biomarker_type 	gene product is biomarker type
gene_product_is_element_in_pathway 	gene product is element in pathway
gene_product_is_physical_part_of 	gene product is physical part of
gene_product_malfunction_associated_with_disease 	gene product malfunction associated with disease
gene_product_plays_role_in_biological_process 	gene product plays role in biological process
germ_origin_of 	Germ origin of
gives_rise_to 	Gives rise to
grade_of 	grade of
has_access 	Has access
has_active_ingredient 	Has active ingredient
has_active_metabolites 	Has active metabolites
has_actual_outcome 	Has actual outcome
has_adjustment 	Has adjustment
has_alias 	Has alias
has_allelic_variant 	Has allelic variant
has_arterial_supply 	Has arterial supply
has_associated_finding 	Has associated finding
